RecordedDate,Condition,choiceDV,rep_surp,focus_b,focus_w,focus_w.r,FocusIdx,imagery,Fun,Affect,Cognitive,age,gender
9/8/21 21:23,2,2,5,5,3,3,4,5,5,3,3,19,0
9/8/21 21:23,2,1,4,2,4,2,2,4,4,4,2,28,1
9/8/21 21:23,2,1,4,3,3,3,3,5,3,2,4,43,0
9/8/21 21:25,2,1,3,2,4,2,2,3,2,3,2,33,1
9/8/21 21:26,2,1,5,3,3,3,3,3,3,2,2,24,0
9/8/21 21:27,2,1,5,4,5,1,2.5,2,2,2,1,54,1
9/8/21 21:28,2,1,5,2,5,1,1.5,3,3,3,3,67,0
9/8/21 21:31,2,2,5,3,3,3,3,5,5,5,4,33,1
9/8/21 21:31,2,2,5,5,5,1,3,5,4,2,2,20,1
9/8/21 21:31,2,2,5,4,2,4,4,5,5,3,4,22,0
9/8/21 21:31,2,2,4,4,2,4,4,4,4,3,2,50,0
9/8/21 21:32,2,1,4,4,2,4,4,4,3,3,3,46,0
9/8/21 21:32,2,2,5,5,3,3,4,4,4,3,3,51,0
9/8/21 21:33,2,1,5,2,4,2,2,5,2,5,5,39,1
9/8/21 21:34,2,2,3,3,3,3,3,1,3,2,4,44,1
9/8/21 21:35,2,1,5,5,5,1,3,5,4,2,2,21,1
9/8/21 21:38,2,2,5,4,2,4,4,5,3,3,2,46,0
9/8/21 21:39,2,2,4,3,3,3,3,4,3,4,3,58,0
9/8/21 21:40,2,1,5,2,5,1,1.5,5,3,4,3,32,0
9/8/21 21:41,2,1,5,5,5,1,3,5,3,1,4,29,1
9/8/21 21:41,2,1,5,4,4,2,3,3,3,3,3,31,1
9/8/21 21:42,2,2,4,4,3,3,3.5,4,4,3,3,47,0
9/8/21 21:44,2,1,5,3,3,3,3,4,3,3,3,85,0
9/8/21 21:44,2,2,4,5,2,4,4.5,4,5,2,2,47,1
9/8/21 21:44,2,2,5,5,2,4,4.5,4,4,4,4,38,0
9/8/21 21:45,2,2,5,5,5,1,3,5,5,3,3,31,1
9/8/21 21:48,2,1,5,2,4,2,2,5,3,3,4,19,0
9/8/21 21:51,2,1,5,4,3,3,3.5,5,4,3,3,42,0
9/8/21 21:51,2,1,5,1,5,1,1,5,2,3,4,28,0
9/8/21 21:52,2,1,5,4,3,3,3.5,4,4,3,3,42,0
9/8/21 21:53,2,2,5,4,2,4,4,3,4,4,1,45,0
9/8/21 21:53,2,1,5,5,4,2,3.5,3,4,4,4,67,0
