RecordedDate,cond,choice,ManipCheck,ManipSurprise,Inddif1,Inddif2,Individ_diff,age,gender,gender_3_TEXT
10/26/21 20:06,2,1,3,6,5,3,5,33,0,
10/26/21 20:07,2,2,3,1,7,1,7,33,1,
10/26/21 20:07,2,1,3,5,2,6,2,26,1,
10/26/21 20:07,2,1,2,2,4,1,5.5,48,0,
10/26/21 20:09,2,2,6,7,3,5,3,57,1,
10/26/21 20:09,2,1,4,3,4,4,4,33,0,
10/26/21 20:10,2,1,6,7,4,5,3.5,29,1,
10/26/21 20:10,2,2,2,2,4,4,4,59,0,
10/26/21 20:12,2,1,2,2,2,6,2,43,0,
10/26/21 20:12,2,1,3,5,2,6,2,34,1,
10/26/21 20:12,2,1,2,2,3,4,3.5,43,0,
10/26/21 20:12,2,1,2,2,6,2,6,21,0,
10/26/21 20:15,2,1,2,4,5,6,3.5,36,0,
10/26/21 20:17,2,1,3,3,4,4,4,46,1,
10/26/21 20:18,2,1,5,6,2,5,2.5,70,0,
10/26/21 20:18,2,2,4,9,6,2,6,30,0,
10/26/21 20:20,2,1,4,5,4,3,4.5,37,1,
10/26/21 20:21,2,2,3,5,4,4,4,46,1,
10/26/21 20:22,2,2,4,4,3,5,3,54,0,
10/26/21 20:22,2,2,3,4,5,3,5,34,1,
10/26/21 20:23,2,1,2,2,3,6,2.5,46,1,
10/26/21 20:24,2,1,2,3,4,2,5,27,0,
10/26/21 20:25,2,1,4,6,2,6,2,50,0,
10/26/21 20:26,2,2,2,3,5,3,5,26,0,
10/26/21 20:27,2,2,2,3,5,3,5,74,0,
10/26/21 20:28,2,1,2,2,4,2,5,38,0,
10/26/21 20:29,2,2,3,4,5,2,5.5,46,0,
10/26/21 20:33,2,2,1,1,1,6,1.5,46,0,
10/26/21 20:36,2,2,8,9,5,2,5.5,33,0,
10/26/21 20:37,2,1,3,7,1,7,1,38,0,
10/26/21 20:38,2,1,4,6,2,6,2,66,1,
10/26/21 20:40,2,1,1,1,6,1,6.5,39,0,
10/26/21 20:40,2,2,2,3,3,5,3,28,0,
10/26/21 20:40,2,2,9,5,7,1,7,21,0,
10/26/21 20:42,2,1,5,5,2,7,1.5,38,1,
10/26/21 20:43,2,2,2,4,5,2,5.5,39,1,
10/26/21 20:46,2,2,3,7,7,1,7,26,0,
10/26/21 20:46,2,2,3,7,5,4,4.5,36,0,
10/26/21 20:47,2,2,7,8,4,4,4,61,0,
10/26/21 20:50,2,2,6,6,6,3,5.5,41,1,
10/26/21 20:53,2,1,6,8,3,4,3.5,69,0,
10/26/21 20:55,2,2,2,2,5,3,5,26,0,
10/26/21 21:00,2,2,3,5,4,4,4,39,0,
10/26/21 21:01,2,1,3,6,4,3,4.5,52,1,
10/26/21 21:02,2,2,3,2,4,5,3.5,37,0,
10/26/21 21:02,2,2,9,9,5,2,5.5,31,1,
10/26/21 21:04,2,1,3,5,4,4,4,62,0,
10/26/21 21:05,2,2,3,4,4,4,4,38,0,
10/26/21 21:06,2,1,2,3,3,6,2.5,48,0,
10/26/21 21:10,2,1,3,6,5,1,6,45,1,
10/26/21 21:11,2,2,9,9,3,3,4,36,0,
10/26/21 21:12,2,2,1,6,7,1,7,24,1,
10/26/21 21:13,2,1,3,1,1,7,1,37,0,
10/26/21 21:14,2,2,5,6,4,2,5,40,4,
10/26/21 21:16,2,2,7,9,7,1,7,30,1,
10/26/21 21:16,2,2,3,5,7,1,7,28,1,
10/26/21 21:17,2,2,9,9,7,1,7,27,1,
10/26/21 21:17,2,2,3,9,7,1,7,26,0,
10/26/21 21:21,2,1,3,5,5,2,5.5,30,1,
10/26/21 21:21,2,2,3,4,5,2,5.5,41,1,
10/26/21 21:21,2,2,1,5,6,1,6.5,36,0,
10/26/21 21:22,2,2,4,4,7,1,7,25,0,
10/26/21 21:22,2,2,2,7,7,1,7,39,1,
10/26/21 21:22,2,2,3,4,2,6,2,42,0,
10/26/21 21:23,2,1,7,7,1,7,1,42,0,
10/26/21 21:24,2,1,3,2,4,5,3.5,25,0,
10/26/21 21:29,2,2,3,6,5,3,5,33,0,
10/26/21 21:32,2,1,3,5,4,4,4,39,0,
10/26/21 21:35,2,2,5,9,7,1,7,51,1,
10/26/21 21:36,2,1,6,3,4,3,4.5,37,0,
10/26/21 21:36,2,2,5,6,5,2,5.5,29,0,
10/26/21 21:38,2,2,6,9,4,2,5,21,1,
10/26/21 21:39,2,2,3,3,1,6,1.5,70,1,
10/26/21 21:40,2,2,3,3,5,4,4.5,49,0,
10/26/21 21:40,2,1,3,5,2,6,2,28,1,
10/26/21 21:42,2,1,5,5,3,5,3,60,1,
10/26/21 22:05,2,1,3,4,5,3,5,45,0,
