RecordedDate,Condition,choiceDV,surprise,focus,rep_surp,focus_b,focus_w,FocusIdx,imagery,Fun,Affect,Cognitive,age,gender
9/20/21 22:02,1,2,7,2,5,5,1,5,5,4,5,4,56,1
9/20/21 22:03,1,2,7,3,5,5,2,4.5,5,5,5,4,45,0
9/20/21 22:03,1,2,8,4,4,4,2,4,4,4,3,3,40,0
9/20/21 22:05,1,2,6,2,5,4,1,4.5,4,4,4,3,49,0
9/20/21 22:06,1,1,1,-4,1,2,5,1.5,1,2,3,1,31,0
9/20/21 22:09,1,2,8,0,5,3,3,3,2,4,4,1,30,0
9/20/21 22:11,1,2,7,1,5,4,3,3.5,3,3,3,3,29,0
9/20/21 22:11,1,1,9,-4,5,1,5,1,1,1,1,1,40,1
9/20/21 22:11,1,2,9,4,5,5,1,5,5,5,3,1,32,0
9/20/21 22:13,1,2,9,4,5,5,3,4,5,5,4,3,24,1
9/20/21 22:18,1,1,1,4,5,1,1,3,3,2,2,1,35,1
9/20/21 22:19,1,2,7,4,5,4,4,3,4,5,3,2,21,1
9/20/21 22:20,1,2,5,2,2,3,4,2.5,3,3,3,2,23,1
9/20/21 22:20,1,1,5,0,1,1,1,3,1,1,1,1,54,1
9/20/21 22:26,1,2,8,2,4,4,3,3.5,4,4,1,3,35,0
9/20/21 22:27,1,1,6,-3,5,3,4,2.5,4,3,3,3,36,0
9/20/21 22:29,1,2,5,2,5,5,1,5,4,4,4,4,27,1
9/20/21 22:30,1,1,7,-4,5,5,3,4,4,5,3,3,31,0
9/20/21 22:35,1,2,6,2,5,3,3,3,4,4,3,4,25,1
9/20/21 22:39,1,2,9,4,5,5,1,5,5,5,3,3,33,0
9/20/21 22:40,1,1,8,-4,5,1,5,1,5,4,1,3,27,0
9/20/21 22:41,1,2,8,0,5,3,3,3,5,5,4,4,30,0
9/20/21 22:41,1,2,7,1,1,3,3,3,2,2,2,2,23,1
9/20/21 22:45,1,2,9,4,5,5,1,5,5,5,4,2,33,1
9/20/21 22:50,1,1,3,-4,5,2,5,1.5,3,2,2,3,43,1
9/20/21 22:53,1,2,7,2,5,5,3,4,5,5,4,4,40,0
9/20/21 22:54,1,2,6,1,4,3,3,3,3,4,2,3,30,1
9/20/21 22:57,1,2,9,0,5,4,2,4,3,5,3,3,25,1
9/20/21 22:58,1,2,6,0,5,5,1,5,5,5,5,3,30,0
9/20/21 23:07,1,1,1,0,4,1,5,1,2,1,1,1,29,0
9/20/21 23:11,1,2,9,4,5,4,1,4.5,5,5,1,2,46,0
9/20/21 23:14,1,1,1,-1,5,3,3,3,2,3,4,2,39,1
9/20/21 23:15,1,1,4,-3,4,2,4,2,4,4,3,2,47,0
9/20/21 23:18,1,1,5,2,4,3,3,3,4,2,2,2,29,1
9/20/21 23:24,1,1,3,3,5,3,4,2.5,4,3,2,2,23,0
9/20/21 23:42,1,2,9,3,5,4,1,4.5,4,5,3,2,37,1
