snackliking1,snackliking2,snackliking3,snackliking4,snackliking5,snackliking6,snackliking7,snackliking8,snackliking9,snackliking10,snackliking11,snackliking12,snackliking13,snackliking14,snackliking15,snackliking16,snackliking17,snackliking18,snackliking19,snackliking20,filler1,filler2,preferredsnack,filler3,filler4,CONDITION,ChoiceDV,Surprise,age,gender,gender.r,gender_3_TEXT
1.03,4.43,3.6,1,3.33,1,0.37,3.67,1,0.53,1.67,2.5,3.47,1.57,3.57,4.87,4.5,4.27,2.4,2.6,Twinkies,Kit Kat,Skittles,Doritos,Haribo Gummy Bears,1,1,3,18,Female,0,
1,3.17,4.03,1,1.97,0.97,1.03,2.7,0.87,1.1,1.07,2.73,3.73,1.07,1.17,2.13,3.37,1.2,1.53,1.4,Jelly Bellies,Kit Kat,Skittles,Lays Chips,Haribo Gummy Bears,1,1,3,19,Male,1,
1.75,3.65,3.52,4.95,4.75,1.52,1.55,3.45,4.22,3.82,4.82,4.45,3.15,4.78,4.42,4.82,4.85,3.88,3.08,4.02,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Doritos,Fruit Roll-Ups,1,1,4,19,Female,0,
5,3.01,1.01,2.98,3.91,2.88,3.98,3.98,4.05,4.88,2.98,2.98,2.91,4.91,4.05,4.98,4.98,1.05,2.05,0.91,Jelly Bellies,Kit Kat,Skittles,Doritos,Haribo Gummy Bears,1,1,2,20,Male,1,
3.43,3.3,3.77,2.67,2.5,0.47,3.5,2.37,3.67,3.77,0.33,0.23,1.43,2.6,0.33,4.23,2.77,0.3,0.37,4.43,Twinkies,Kit Kat,Skittles,Lays Chips,Fruit Roll-Ups,1,1,2,20,Female,0,
3.06,4.06,4.02,4.49,4.29,1.49,3.42,4.52,3.86,3.36,2.52,1.92,4.42,4.02,2.59,4.42,4.46,0.89,2.12,4.06,Jelly Bellies,Kit Kat,Skittles,Doritos,Fruit Roll-Ups,1,1,4,19,Female,0,
2.67,3.5,4.5,3.87,4.47,1.37,2.5,3.63,1.63,2.9,4.73,3.4,4.73,3.73,0.4,4.73,3.83,0.6,4,3.63,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Lays Chips,Haribo Gummy Bears,1,1,4,20,Male,1,
4.53,3.8,2.63,0.6,4.47,4.53,4.63,3.57,0.6,0.33,1.3,1.6,2.53,4.5,0.03,3.37,3.63,1.63,1.63,4.43,Jelly Bellies,Kit Kat,Skittles,Doritos,Haribo Gummy Bears,1,1,2,19,Female,0,
5,4.83,2.87,1.9,1.87,0.83,1,3.83,2.87,4.57,5,0.97,2.83,2.93,0.93,3.9,3.93,1,1.03,4.53,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Doritos,Haribo Gummy Bears,1,1,5,19,Female,0,
5,2,4,2,2,1,4,5,5,5,3,3,3,5,1,3,3,1,1,5,Jelly Bellies,Kit Kat,Skittles,Doritos,Haribo Gummy Bears,1,1,3,22,Female,0,
