RecordedDate,Condition,choiceDV,surprise,ManipCheck1,ManipCheck2,indiv1,indiv2,age,gender,gender_3_TEXT
11/17/21 16:57,2,2,7,3,4,6,1,65,0,
11/17/21 16:57,2,2,9,3,5,7,1,45,1,
11/17/21 16:57,2,1,2,3,6,3,6,37,1,
11/17/21 16:57,2,2,3,2,2,3,5,31,1,
11/17/21 16:57,2,1,1,4,6,1,6,27,1,
11/17/21 16:57,2,2,3,5,7,2,6,53,1,
11/17/21 16:58,2,1,1,2,1,6,1,42,1,
11/17/21 16:58,2,1,2,3,4,4,2,41,0,
11/17/21 16:58,2,1,1,9,9,1,7,59,0,
11/17/21 16:59,2,2,6,4,4,2,6,35,1,
11/17/21 16:59,2,1,5,2,5,7,1,26,0,
11/17/21 17:00,2,2,7,3,6,6,1,46,1,
11/17/21 17:00,2,2,9,4,4,5,2,23,0,
11/17/21 17:00,2,2,9,9,9,6,4,33,1,
11/17/21 17:00,2,2,8,3,3,5,2,32,1,
11/17/21 17:00,2,2,6,3,5,4,3,51,1,
11/17/21 17:00,2,2,7,3,7,6,3,19,1,
11/17/21 17:00,2,1,1,4,7,5,4,27,0,
11/17/21 17:01,2,1,1,3,3,5,2,26,1,
11/17/21 17:01,2,1,3,4,4,4,2,59,0,
11/17/21 17:01,2,1,1,1,1,1,7,39,0,
11/17/21 17:02,2,1,1,2,4,3,5,31,1,
11/17/21 17:03,2,2,3,3,4,6,1,23,0,
11/17/21 17:03,2,2,9,4,7,7,1,19,1,
11/17/21 17:03,2,1,3,7,9,5,3,38,0,
11/17/21 17:03,2,1,1,3,4,3,4,50,0,
11/17/21 17:04,2,2,5,4,4,2,6,66,1,
11/17/21 17:04,2,2,9,4,9,6,2,38,1,
11/17/21 17:04,2,1,1,3,2,2,5,52,0,
11/17/21 17:06,2,2,1,4,6,2,2,32,0,
11/17/21 17:06,2,2,9,6,6,3,1,28,0,
11/17/21 17:06,2,1,1,1,1,4,4,50,1,
11/17/21 17:07,2,1,2,2,3,6,1,31,1,
11/17/21 17:07,2,2,5,5,5,4,4,34,1,
11/17/21 17:08,2,2,6,4,2,5,2,52,1,
11/17/21 17:08,2,1,3,4,4,3,3,51,1,
11/17/21 17:08,2,1,1,4,9,4,2,62,0,
11/17/21 17:09,2,1,3,4,3,3,5,21,1,
11/17/21 17:09,2,1,1,3,9,1,7,35,1,
11/17/21 17:09,2,1,1,3,4,4,4,39,1,
11/17/21 17:09,2,1,2,3,2,1,7,22,0,
11/17/21 17:09,2,1,1,4,3,2,6,58,0,
11/17/21 17:10,2,1,2,3,2,4,3,53,0,
11/17/21 17:10,2,2,2,3,5,4,2,33,1,
11/17/21 17:10,2,2,9,5,9,7,1,59,0,
11/17/21 17:10,2,1,1,9,9,4,4,45,1,
11/17/21 17:11,2,1,3,3,8,3,5,56,1,
11/17/21 17:11,2,1,1,2,1,6,1,27,1,
11/17/21 17:11,2,1,1,3,6,4,3,47,0,
11/17/21 17:14,2,2,9,3,6,6,2,47,0,
11/17/21 17:21,2,1,1,5,6,2,6,32,1,
11/17/21 17:24,2,1,1,3,6,2,7,39,0,
11/17/21 17:24,2,1,1,3,2,4,2,37,1,
11/17/21 17:25,2,1,1,4,7,2,6,46,1,
