RecordedDate,condition,ChoiceDV,Surprise,focus,representSurp,best,worst,Imagery,fun,Affect,Cognitive,drink,age,gender,FocusIndex
9/21/21 5:45,1,2,9,0,5,1,1,1,1,1,1,1,40,1,3
9/21/21 0:17,2,1,1,-2,5,2,4,3,1,2,1,1,40,1,2
9/21/21 0:19,2,1,1,-4,5,3,5,5,1,1,5,1,33,0,2
9/21/21 0:21,2,1,7,1,3,4,3,3,2,3,3,1,20,1,3.5
9/21/21 0:21,2,1,2,-4,5,1,5,1,1,2,1,2,24,2,1
9/21/21 0:32,2,1,1,-2,4,2,4,4,3,3,3,1,22,0,2
9/21/21 0:43,2,1,1,0,5,2,3,2,3,3,3,2,45,0,2.5
9/21/21 0:54,2,1,4,3,5,3,3,4,4,5,4,1,34,0,3
9/21/21 1:09,2,1,9,-4,5,3,5,1,1,1,1,2,50,1,2
9/21/21 1:12,2,1,4,-2,5,5,4,3,3,3,3,2,43,0,3.5
9/21/21 1:16,2,1,8,0,3,5,4,5,3,2,5,1,41,0,3.5
9/21/21 1:38,2,1,2,-4,5,3,5,2,4,4,4,1,30,0,2
9/21/21 1:44,2,1,3,-1,4,2,4,4,3,3,3,1,38,1,2
9/21/21 1:58,2,1,1,0,3,3,3,1,1,1,1,1,29,1,3
9/21/21 2:01,2,1,1,-2,5,3,4,4,2,3,3,2,34,0,2.5
9/21/21 2:10,2,1,1,-4,4,2,4,4,1,1,2,1,63,0,2
9/21/21 2:16,2,1,1,-4,5,4,5,3,3,1,1,1,39,1,2.5
9/21/21 2:19,2,1,6,-1,4,3,4,3,4,3,3,1,61,1,2.5
9/21/21 2:31,2,1,2,-2,3,3,3,4,1,3,1,1,32,1,3
9/21/21 2:33,2,1,1,-2,5,3,3,4,3,2,3,1,68,1,3
9/21/21 2:39,2,1,1,-4,5,2,5,3,2,2,3,2,47,0,1.5
9/21/21 2:42,2,1,4,2,5,2,4,3,4,3,3,1,35,0,2
9/21/21 2:57,2,1,6,1,4,2,4,3,2,1,1,2,23,1,2
9/21/21 2:58,2,1,1,-4,3,1,5,4,2,1,4,1,37,0,1
9/21/21 3:00,2,1,1,-4,5,5,5,5,2,1,3,2,32,0,3
9/21/21 3:01,2,1,9,4,5,3,5,5,3,4,4,1,31,1,2
9/21/21 3:08,2,1,1,0,5,1,1,1,2,3,4,1,56,0,3
9/21/21 3:20,2,1,1,-4,5,5,5,5,2,3,2,1,36,1,3
9/21/21 3:31,2,1,5,-3,4,2,4,4,3,2,1,1,47,1,2
9/21/21 3:43,2,1,1,-4,4,4,2,1,3,1,4,1,60,1,4
9/21/21 3:45,2,1,1,0,1,1,1,1,4,3,3,1,36,1,3
9/21/21 3:50,2,1,4,-1,4,3,4,4,3,2,2,2,27,0,2.5
9/21/21 3:53,2,1,3,-4,4,4,4,3,3,1,2,1,40,1,3
9/21/21 4:00,2,1,1,-4,5,5,5,5,3,3,3,1,33,1,3
9/21/21 4:03,2,1,6,-1,3,4,3,4,4,4,4,1,32,0,3.5
